step count_gt_3
0 0
1000 6
2000 10
3000 10
4000 12
5000 11
6000 14
7000 13
8000 11
9000 14
10000 12
11000 13
12000 13
13000 12
14000 13
15000 13
16000 11
17000 12
18000 15
19000 12
20000 11
21000 13
22000 13
23000 11
24000 9
25000 8
26000 8
27000 10
28000 11
29000 10
30000 10
31000 11
32000 12
33000 14
34000 14
35000 14
36000 15
37000 15
38000 15
39000 15
40000 14
41000 15
42000 15
43000 14
44000 13
45000 13
46000 13
47000 14
48000 13
49000 12
50000 13
51000 13
52000 13
53000 13
54000 14
55000 13
56000 12
57000 11
58000 11
59000 13
60000 12
61000 14
62000 12
63000 12
64000 12
65000 14
66000 14
67000 12
68000 14
69000 14
70000 15
71000 15
72000 14
73000 15
74000 14
75000 14
76000 14
77000 15
78000 15
79000 14
80000 14
81000 14
82000 14
83000 14
84000 15
85000 15
86000 15
87000 15
88000 15
89000 15
90000 15
91000 15
92000 15
93000 15
94000 14
95000 13
96000 11
97000 13
98000 13
99000 13
100000 13
101000 14
102000 14
103000 14
104000 13
105000 13
106000 11
107000 11
108000 11
109000 15
110000 13
111000 12
112000 13
113000 14
114000 14
115000 14
116000 14
117000 14
118000 13
119000 14
120000 14
121000 15
122000 13
123000 14
124000 15
125000 14
126000 14
127000 15
128000 14
129000 14
130000 14
131000 15
132000 15
133000 14
134000 12
135000 14
136000 14
137000 15
138000 15
139000 14
140000 14
141000 15
142000 15
143000 13
144000 14
145000 15
146000 13
147000 14
148000 14
149000 14
150000 15
151000 15
152000 15
153000 13
154000 13
155000 12
156000 14
157000 14
158000 14
159000 14
160000 14
161000 14
162000 14
163000 12
164000 13
165000 14
166000 14
167000 14
168000 15
169000 15
170000 14
171000 13
172000 12
173000 14
174000 12
175000 12
176000 12
177000 12
178000 13
179000 12
180000 13
181000 15
182000 14
183000 15
184000 14
185000 14
186000 13
187000 15
188000 14
189000 14
190000 14
191000 13
192000 14
193000 14
194000 13
195000 12
196000 12
197000 14
198000 14
199000 14
