"Corrected","BestCanon","AvgDist","MaxDist"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.0.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.2","0","0"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.1000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.3","2.352426","17.185052"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.10000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.25000","2.159102","17.267607"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.100000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.0","0","0"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.101000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.1","2.561571","16.458895"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.102000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.1","2.435094","15.752037"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.103000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.3","2.592047","17.588864"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.104000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.1","2.393862","16.263912"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.105000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.1","2.504093","16.328811"
"C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\corrected_voids_relax\voids-relax.106000.dump","C:\Users\Administrator\Documents\xwechat_files\wxid_ccnsk401f7tu22_5a73\msg\file\2025-11\df\voids.1","2.648753","16.845997"
